,prices_usd,market_caps,total_volumes
2021-05-15 15:54:57,49079.92225748971,916703120772.0487,61690064581.54984
2021-05-15 15:59:43,49053.167386888,917825524990.773,61679663433.80827
2021-05-15 16:02:41,48905.16180709701,917825524990.773,60075801976.7774
2021-05-15 16:08:47,48719.64694250449,911585664956.6316,60621914822.90265
2021-05-15 16:13:09,48573.47529606905,911585664956.6316,60533561850.05685
2021-05-15 16:17:47,48264.12400069212,903062784558.3501,60422190593.372574
2021-05-15 16:23:15,48286.13716339549,903062784558.3501,59306306010.06307
2021-05-15 16:29:37,48205.8033086024,901971844071.583,60529406227.76403
2021-05-15 16:32:14,48140.15886615926,901971844071.583,60485540747.04756
2021-05-15 16:39:51,47993.81365207482,898005624097.688,60656140215.97587
2021-05-15 16:44:03,48111.97259474177,898005624097.688,61006023662.83175
2021-05-15 16:47:48,47883.90446348098,895949128437.3767,59559167933.95436
2021-05-15 16:52:55,47874.68571955316,895949128437.3767,61085353655.35546
2021-05-15 16:59:25,47917.950280273406,896586155017.0571,60092586784.66557
2021-05-15 17:01:56,47901.367862197505,896586155017.0571,60121082780.86631
2021-05-15 17:09:17,47775.70462795974,893924616246.516,60999476133.90495
2021-05-15 17:13:40,47655.70844085867,893924616246.516,59796407921.29974
2021-05-15 17:18:58,47580.929148587704,890280484616.5768,59930886725.43529
2021-05-15 17:24:01,47642.522741728106,890280484616.5768,60088282793.24862
2021-05-15 17:28:27,47698.60204852822,890280484616.5768,60135971669.69199
2021-05-15 17:33:33,47825.80690845342,892483152987.98,60582914659.68508
2021-05-15 17:38:40,48142.790510118284,900794313099.4955,62336046076.469894
2021-05-15 17:43:23,48415.028279968625,900794313099.4955,62810041415.84404
2021-05-15 17:49:29,48206.17654347671,901980611244.1025,61372236669.28666
2021-05-15 17:54:32,48161.40981820958,901980611244.1025,61395563849.213234
2021-05-15 17:59:10,48137.83342848168,900702187496.9779,61422675807.45996
2021-05-15 18:01:33,48010.82252852376,900702187496.9779,61253409487.084854
2021-05-15 18:09:55,47988.697103519175,897912288498.602,62428641317.86613
2021-05-15 18:14:00,47944.51292345158,897912288498.602,62426729241.55484
